agent,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
20,0.005752213602469012,0.021538661999093246,0.0050221915962578275,0.017320328865098416,0.037461962715721456,0.039850323567124535,0.012335953903298799,0.013091396196675955,0.0414710462450992,0.03689491341584798,0.01678732544591895,-0.004615223213255207,0.01894057608546713,0.0005639895069966525,0.0020006867308605724,0.010736804910159764,0.01857461597070772,0.05556955560878644,0.019176788182729856,0.0288596937594968,0.08804579750997313,0.022413156849611083,0.04972246524368939,0.05705442030434
21,0.00575221360255456,0.021538661968180745,0.005022191627163981,0.017320328865827784,0.037461962715676554,0.03985032356628814,0.012335953903357455,0.01302129564072263,0.040933197355419546,0.03696464895785391,0.01666387393560784,-0.005610112179900442,0.017826765702050648,-0.0007908985370853323,0.0011042164092216471,0.011184228990760917,0.01922157282782996,0.055406583268796314,0.01959269573032165,0.028859693759528817,0.08804579750312103,0.02241315685569065,0.04972246524428127,0.057054420303722785
22,0.005752213608559046,0.02153866203181317,0.005022191558113137,0.017320328880440605,0.037461962722088536,0.03985032358081493,0.0123359538954254,0.013216261073116657,0.041206318187780845,0.03751871567039627,0.01776522927821349,-0.004342357718916209,0.01930483082264582,-0.0011807510910017067,0.003049999796049287,0.011642092803087424,0.019398137444217617,0.025535762157421114,0.03406353625791143,0.02885969396745815,0.08804579768199856,0.022413156955693892,0.049722465226715216,0.05705442032085618
23,0.005752213786391652,0.02153866082823575,0.005022192699985161,0.017320329593605806,0.03746196264593581,0.039850323133383166,0.01233595395105641,0.01322096445789611,0.04145430719266909,0.03744477175216057,0.017603296231586067,-0.005381697238417283,0.01980223464415081,-0.000754968482451951,0.0010713467946691973,0.009713054400514558,0.01794665342643351,0.026110496432903765,0.019634924710078973,0.028859693804277792,0.0872352708688602,0.022413157363407356,0.0497224658385263,0.057054419714503354
24,0.005752213783531597,0.021538660759353102,0.00502219277057251,0.017320329586625192,0.03746196264590833,0.03985032313032481,0.012335953951769441,0.013202940994073748,0.04097085209661692,0.03650221634980396,0.016806320068424214,-0.0048857714495388225,0.019068373419329026,0.0006148163798210359,0.0015635825923479328,0.010189353369381893,0.01822552486963424,0.02599045956143761,0.01937266567392438,0.028859693804386098,0.08723527084934736,0.02241315738277059,0.04972246584148077,0.05705441971123509
25,0.005752213603313132,0.02153866159612543,0.005022191999134565,0.01732032887202459,0.037461962715288816,0.03985032355927816,0.012335953903848453,0.01275966029069566,0.04091743632464282,0.03646038744789473,0.01766198616251157,-0.004298822309623773,0.018127298794166462,-0.0012982125178187835,0.002683966690065705,0.01001379859899212,0.018364187147075422,0.05625416836765057,0.01919789693431928,0.02885969375981104,0.08804579744509732,0.022413156907143496,0.04972246524926715,0.057054420298538425
26,0.005752213782057831,0.021538660720256092,0.00502219281054817,0.017320329583033423,0.03746196264589313,0.03985032312872972,0.012335953952138537,0.01299589798165765,0.04113537057042331,0.036925671872318634,0.016487720668243014,-0.005561658774895274,0.01924700318445418,-1.2999319335911139e-05,0.0019789660886780102,0.010683855182273229,0.01854984500551453,0.025894246502507694,0.019328807361168442,0.028859693804442945,0.08723527083919386,0.02241315739285972,0.04972246584300823,0.05705441970954599
27,0.005752213608903855,0.021538661756743342,0.005022191833215395,0.017320328884733865,0.03746196272182986,0.03985032357552684,0.012335953895803475,0.012849708836475479,0.0415654656605827,0.037150214317105835,0.017523799228443597,-0.004379625609188511,0.018052737078541967,-0.0010575944692001247,0.0015805069190870285,0.010597493928646576,0.018828612955279486,0.026598656187068595,0.03441149445424926,0.02885969396762338,0.08804579763661526,0.022413156998486165,0.04972246523043796,0.057054420316971596
28,0.005752213608975546,0.02153866169161075,0.005022191898348074,0.017320328885535086,0.037461962721781206,0.03985032357456879,0.012335953895871391,0.012909416317655369,0.041275594244539304,0.0372299252014785,0.016450293259321735,-0.005490930253765737,0.019022777591648474,-0.0015047900446356326,0.0011778394720964897,0.01026932577043814,0.018246692169452506,0.026351535504015935,0.03441431689176145,0.028859693967658497,0.08804579762837746,0.022413157006275754,0.04972246523111371,0.057054420316268506
29,0.005752213603475188,0.021538661497495257,0.005022192097738803,0.01732032887326242,0.03746196271521054,0.03985032355792438,0.012335953903942515,0.013053788348559739,0.04105031457567871,0.0370953578458362,0.017470896425467935,-0.003972395850096134,0.018339770135505633,-0.0005853718512586687,0.0024243181012215853,0.011594014143130401,0.01942599426942645,0.055453430706473704,0.019797250007619786,0.028859693759870502,0.08804579743389662,0.0224131569171365,0.049722465250231614,0.057054420297539085
30,0.00575221377783809,0.021538660592884337,0.005022192940439347,0.01732032957278546,0.03746196264584348,0.039850323124065105,0.012335953953205109,0.013154131648911929,0.04086984690185781,0.03688338104840588,0.01687572437167364,-0.0038398541012098354,0.019037840670021927,0.0003495183897349561,0.0020804224790597864,0.01008359406359169,0.018811738104459474,0.025470553849944347,0.01985087005234535,0.028859693804607463,0.0872352708096234,0.022413157422233484,0.04972246584742203,0.05705441970466869
31,0.005752213603704465,0.021538661362310432,0.005022192232878886,0.0173203288749242,0.03746196271510449,0.03985032355622686,0.012335953904061104,0.012868583339727744,0.04111980652430039,0.03688417925876014,0.01783757299772473,-0.003910211560150601,0.018204756228168344,-0.000943565604904546,0.0020315761535842675,0.00963323438761871,0.01840749192765763,0.056558040903879316,0.019859925645734543,0.028859693759949442,0.08804579742004368,0.022413156929456328,0.04972246525143765,0.0570544202962933
32,0.005752213772460277,0.021538660392115046,0.005022193144429869,0.017320329559873393,0.0374619626457585,0.03985032311783073,0.012335953954594765,0.012909182087628443,0.041340545368114344,0.03708883820750245,0.017836949816618333,-0.004879907093160965,0.019712499297678057,0.0005965916912111669,0.0027012064669734545,0.009664281502009382,0.019211300242887613,0.026505502499486293,0.019590715561773032,0.028859693804817895,0.08723527077047168,0.02241315746096116,0.049722465853192496,0.05705441969830455
33,0.005752213771119405,0.021538660335711935,0.0050221932016353815,0.01732032955661816,0.03746196264573853,0.03985032311627274,0.012335953954940802,0.013049554808802398,0.041110043341734286,0.03715653192092629,0.017298086034306125,-0.004014787730097058,0.01922099907531658,-0.0003484154648640411,0.003268014964183247,0.010570994817518973,0.019233855175274074,0.026461630384390884,0.019681479468252223,0.028859693804865152,0.08723527076062261,0.022413157470676244,0.04972246585462336,0.05705441969672617
34,0.005752213601989221,0.021538662005612608,0.005022191582886338,0.01732032881194098,0.0374619627265172,0.03985032365652679,0.012335953889735738,0.013148395878060153,0.04119813987585291,0.03725203537553334,0.017714448245956436,-0.004702827821687273,0.019382358902475767,-0.0014742737270242137,0.0027349360501178577,0.011184794892840026,0.01800852330609614,0.025521553067674514,0.03406562673450244,0.028859693963280968,0.08804579818752878,0.02241315648723697,0.04972246517637837,0.05705442037436461
35,0.00575221359288484,0.02153866204923875,0.005022191546335408,0.017320328792520476,0.037461962720405154,0.03985032364183941,0.01233595389792969,0.013193322639429989,0.04119959799346756,0.03654808495943247,0.017500483174251253,-0.004109848309598082,0.01883247058644809,0.0003470869934806085,0.002462381841408856,0.010500231006532941,0.01840980557258641,0.05626456445528941,0.01991471099072346,0.02885969375645756,0.0880457980039596,0.022413156424719815,0.0497224651931432,0.05705442035772266
36,0.0057522135929607855,0.021538662048276296,0.005022191547294392,0.017320328793022182,0.037461962720370404,0.039850323641382156,0.012335953897963521,0.013013049310834251,0.04142104704790055,0.036586791949659,0.016438467598716706,-0.005537575548199262,0.01865342278483514,-0.0007101306685162444,0.0014787783877759024,0.010329053479371776,0.01900013142050455,0.05625907050718016,0.01977579962039698,0.028859693756478986,0.0880457980015977,0.022413156426638967,0.04972246519344197,0.05705442035740498
37,0.005752213592981246,0.021538662048028834,0.005022191547540597,0.017320328793154836,0.03746196272036119,0.03985032364126359,0.012335953897972315,0.013268756046961313,0.04119629368444162,0.03646452124827248,0.017734443418469737,-0.0044466707208201525,0.01841829191753411,0.00010217137511599243,0.003198281771418542,0.010771993534520265,0.01793000795478879,0.0555556797882001,0.01981855915832492,0.02885969375648472,0.08804579800098467,0.022413156427131733,0.04972246519351952,0.05705442035732271
38,0.005752213878623943,0.021538660578147118,0.005022192883554318,0.01732032975678592,0.03746196266072053,0.03985032333599892,0.012335953910300982,0.013028138894715713,0.04110471592461022,0.03665532905344875,0.01788918919367053,-0.004908328176099404,0.01831840144312808,-0.001307990191174657,0.0013232389034365255,0.011611966017928587,0.01885181493300837,0.026494790386325517,0.0191549819122717,0.028859693784437753,0.0872352718186509,0.022413156462398914,0.049722465615514744,0.05705441995185185
39,0.005752213879604322,0.021538660571872682,0.005022192889936134,0.01732032976288594,0.03746196265983848,0.03985032332941969,0.012335953911240986,0.013124937764856119,0.04112134532171541,0.036934634739960316,0.017761755755996197,-0.004113896784150573,0.017920032021727053,0.00017424110612120753,0.001988258437328337,0.011625757179630866,0.018247354018510326,0.02589922785346129,0.01994992095167294,0.028859693785352962,0.08723527179904034,0.02241315647946303,0.0497224656227957,0.057054419944435275
40,0.00575221360245942,0.021538662000834697,0.005022191587721442,0.017320328815718645,0.0374619627262546,0.03985032365285497,0.012335953890017057,0.012733096576896932,0.040968882807983026,0.03749680908622851,0.017739986820967293,-0.004754006169894997,0.017836433681387983,-0.0014181159396196535,0.003310718297000552,0.009755083266511167,0.018704610630631828,0.025897411443797355,0.03438679301290451,0.02885969396356134,0.08804579816886271,0.022413156503825762,0.049722465178721476,0.05705442037184994
41,0.005752213879925759,0.021538660570079717,0.005022192891800635,0.01732032976506042,0.03746196265950376,0.03985032332688686,0.012335953911609413,0.013102475753668503,0.0416150912838627,0.03727711762173795,0.01674577438685997,-0.005102067978006266,0.018937428810990947,-0.00010963592049272035,0.0014844414674009,0.01120032511890206,0.019374882823788894,0.026262924121423063,0.019210699356932842,0.02885969378570273,0.08723527179133184,0.022413156486190782,0.04972246562560584,0.05705441994156756
42,0.00575221387993016,0.021538660570057017,0.005022192891824816,0.017320329765092617,0.037461962659498554,0.0398503233268469,0.012335953911615296,0.012794721499299824,0.04155349320188666,0.037478450471651124,0.017046480912890537,-0.004273858127751675,0.017896465951718177,-0.001193358291092703,0.0028232338597541993,0.010403280750864748,0.019254263237013142,0.026559225810087114,0.019321980053648543,0.0288596937857082,0.08723527179120853,0.02241315648629855,0.049722465625650324,0.05705441994152209
43,0.005752213879967644,0.021538660569871106,0.00502219289202151,0.017320329765352232,0.03746196265945663,0.03985032332652765,0.012335953911662142,0.013242152071335996,0.040818180274306406,0.03693372172526999,0.016822399554731086,-0.004495427873851473,0.017665654277076618,-0.0007975280735781514,0.0012553618580086073,0.011585055760179515,0.01886800727322044,0.026019426219680907,0.019982004267912194,0.028859693785752188,0.08723527179022826,0.0224131564871549,0.04972246562600577,0.05705441994115919
44,0.00575221360247943,0.021538662000711403,0.005022191587849648,0.017320328815893748,0.03746196272624204,0.03985032365266689,0.012335953890031672,0.012920830544491705,0.041264561312364244,0.036649220089619405,0.01631590662823093,-0.004512442509058078,0.01957103453940306,-0.001454527276525359,0.0030083765375628164,0.011609418926659402,0.018476279958931245,0.025637588698001274,0.0339766033133112,0.028859693963574972,0.08804579816787601,0.022413156504701763,0.04972246517884232,0.05705442037171974
45,0.00575221359283492,0.021538662049883216,0.005022191545693607,0.017320328792194247,0.03746196272042775,0.03985032364213327,0.012335953897907974,0.013121483670450159,0.0410092384804839,0.036743265082755765,0.016574204822833397,-0.004736370677257249,0.01973322081140895,0.0006784307169366958,0.0023234272561014208,0.010926754137151471,0.018016032696139397,0.05569186702364147,0.019616372457078788,0.028859693756443403,0.08804579800546701,0.02241315642348734,0.04972246519295091,0.05705442035792689
46,0.0057522138780967055,0.021538660583343066,0.005022192878461618,0.017320329754299545,0.03746196266097522,0.039850323337883756,0.012335953910075526,0.012800138339534969,0.04121109633979237,0.03747030476964507,0.017144767296409267,-0.005165167182529047,0.019737372630991772,-0.0006028216571014608,0.0016640516793452972,0.010754984878752412,0.01944994771768966,0.026485558866360653,0.01952751781897419,0.02885969378416927,0.08723527182482003,0.022413156457022694,0.049722465613499474,0.05705441995389322
47,0.005752213592904897,0.021538662048994604,0.005022191546577739,0.017320328792646424,0.03746196272039707,0.03985032364172816,0.012335953897937254,0.01325612664739646,0.04084890739735592,0.03748205355513886,0.01696702557134755,-0.004284533523618003,0.017818715178351745,-0.0004028431727775252,0.002902040601012628,0.009833172138296296,0.018299228834377068,0.055516903629801835,0.019438765493856404,0.0288596937564641,0.08804579800340208,0.0224131564252024,0.04972246519321514,0.05705442035764628
48,0.00575221360205136,0.021538662004830903,0.005022191583673618,0.01732032881242484,0.03746196272648365,0.03985032365607068,0.012335953889770648,0.013266449994845072,0.04109691997483382,0.03672162725905056,0.017382955607135705,-0.005668527992945899,0.018864431440320854,0.0002467538114983042,0.002444905785321451,0.010780193766449168,0.018761430516162955,0.02565074739872267,0.034100877468311724,0.02885969396333448,0.08804579818527244,0.02241315648928015,0.04972246517666865,0.057054420374053415
49,0.005752213595686004,0.021538662044712633,0.005022191550698843,0.017320328811163736,0.03746196271915588,0.03985032362464269,0.012335953899167175,0.013242505594338193,0.040924815753930255,0.03717406267919069,0.01736499111829398,-0.004489910806637898,0.01887648988320845,-4.7574195877720154e-05,0.0016139397966934046,0.010563461619222276,0.018027171543781337,0.05641872024124835,0.01915905518152241,0.028859693757282298,0.08804579791193162,0.02241315650114631,0.049722465204317425,0.05705442034585418
50,0.005752213595712052,0.021538662044962582,0.005022191550446614,0.0173203288113409,0.03746196271914446,0.03985032362448688,0.012335953899178262,0.013202173084918046,0.041468150613720556,0.036617960297437684,0.01762643874148506,-0.005667449456923287,0.018060110367796884,-0.0008738748469991846,0.0013395915274988979,0.010511379643154356,0.01894022089587156,0.055916314931892086,0.01985443698324141,0.028859693757290406,0.08804579791107564,0.022413156501912432,0.04972246520442044,0.0570544203457453
51,0.005752213604384823,0.021538662018223707,0.005022191570551461,0.0173203288317165,0.03746196272516731,0.039850323637154586,0.012335953891210378,0.012881768555278738,0.04111446088831059,0.037550027347936596,0.017079592969266495,-0.004725411279473139,0.017983218707964394,-0.0007148773800307715,0.0018339122083397216,0.01027507417273113,0.018732529256496353,0.025488004060983473,0.03439944606914085,0.028859693965309737,0.08804579808546861,0.02241315657987839,0.049722465188705385,0.057054420361156405
52,0.00575221360453711,0.021538662023340868,0.0050221915654616815,0.0173203288330897,0.037461962725074,0.0398503236357306,0.012335953891319364,0.013066296229297647,0.04088905387391953,0.03636825104257778,0.01695360386242847,-0.004588887900233669,0.01915173093169613,-0.0014931168989474452,0.0032586814325648496,0.010753073453075844,0.01873006632704337,0.026361466834911484,0.03432013379427712,0.028859693965512096,0.08804579807720542,0.022413156587409222,0.04972246518963192,0.0570544203601654
53,0.005752213596500204,0.02153866205899782,0.005022191536382556,0.01732032881683451,0.03746196271878475,0.039850323619151376,0.012335953899557984,0.012748008913645522,0.04088365724552564,0.0363396107031027,0.016784148005823552,-0.0056582445017134605,0.019723284667806165,-0.0004264570992192692,0.0019239158548149731,0.011353666714034302,0.018934657673473524,0.05597913383730126,0.019919905377670688,0.028859693757537018,0.0880457978796283,0.022413156528146422,0.04972246520795198,0.05705442034199845
54,0.0057522136049053966,0.021538662038784014,0.005022191550089583,0.017320328836496292,0.03746196272484405,0.03985032363216481,0.012335953891592122,0.012963606779310027,0.04115412068176111,0.03745023790490676,0.01756846491905325,-0.004641122071930315,0.017884065213865246,0.00013306734987555223,0.0015926963915041837,0.010298840690798379,0.018134267140043833,0.0257053719872448,0.03413342060895985,0.028859693966016724,0.0880457980560599,0.022413156606704482,0.04972246519196047,0.05705442035767583
55,0.005752213597976489,0.021538662108694054,0.005022191486657683,0.01732032882757268,0.03746196271809284,0.03985032360836048,0.012335953900324083,0.012918659993185004,0.04083593508398277,0.03745448954651163,0.016633186667472127,-0.005685907533842356,0.01943332690930973,0.0004223517237756836,0.0032779971602969744,0.011075469188342454,0.018456040839845415,0.05584760942533105,0.01933720719675013,0.02885969375801892,0.08804579781151305,0.02241315658554075,0.049722465215215915,0.05705442033430317
56,0.0057522136060603885,0.021538662123621516,0.005022191465547222,0.017320328848203444,0.037461962724062936,0.039850323619323474,0.012335953892574547,0.013011996188512119,0.04128440468332413,0.036546209290646836,0.016534901725951057,-0.004198473434897109,0.01972718898498877,-0.00031238662466499996,0.0017780400676541156,0.009630390881581222,0.01859254737429928,0.026098797373335255,0.03428404243697006,0.028859693967824826,0.08804579797374978,0.022413156682113994,0.04972246520050185,0.057054420348563124
57,0.005752213598670533,0.02153866214223364,0.005022191453110606,0.017320328832847478,0.03746196271776038,0.03985032360290623,0.012335953900708987,0.012963547154347364,0.04076736511839237,0.03716543204316153,0.01755947430818758,-0.004285524316666682,0.019763747176152195,0.00010935527342930612,0.0010950821503690003,0.011496793870002863,0.019252652558859402,0.056224113142858266,0.019770534019752466,0.02885969375825361,0.08804579777492619,0.02241315661649273,0.04972246521892105,0.057054420330384395
58,0.005752213598869889,0.02153866215289712,0.005022191442446096,0.01732032883439885,0.037461962717663486,0.03985032360127408,0.012335953900823824,0.012726033609923018,0.04143179058583424,0.036614772049519254,0.016291003054605353,-0.005014961825268038,0.01795759083816332,-0.0014888256050632415,0.0016050950344645557,0.010255778334071885,0.01907927395739815,0.05558913347082859,0.01915961543157054,0.02885969375832241,0.08804579776365183,0.022413156626005435,0.04972246522003444,0.0570544203292076
59,0.0057522136064500975,0.0215386621645927,0.005022191424688963,0.01732032885253139,0.037461962723782175,0.039850323614438195,0.012335953892945431,0.012834538532431527,0.041267384955383644,0.03637445171638479,0.01759539356233051,-0.004949648639319609,0.01828497767059207,-3.228035296830221e-05,0.0031458413628825694,0.010047841848629729,0.018795757494513978,0.026534377079082044,0.03397117231484489,0.028859693968593777,0.08804579794007447,0.022413156712935138,0.049722465203785225,0.057054420345069905
60,0.005752213606474642,0.021538662167362266,0.005022191421926887,0.01732032885281132,0.0374619627237641,0.03985032361411765,0.012335953892969737,0.01275280474395445,0.041009618186459956,0.03750563858126248,0.017759009750646454,-0.0050073235910644675,0.01912814738223535,-0.0005296009476585805,0.002229160375417822,0.010761650249961141,0.01916991676911084,0.026033038503106763,0.034405673302665495,0.028859693968648494,0.08804579793781458,0.02241315671499758,0.049722465204001476,0.05705442034484007
