0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
36.10110291458654,33.650629801030064,33.722032386387475,31.659589164141142,29.75854243538975,31.175148595121378,32.82057878213616,32.317729361115255,29.426529692371844,28.939724631868103,31.207037307705335,33.970573135967484,31.213061162537198,37.802910027340246,38.42792528087173,42.13331996967471,44.81559300808326,46.85057643444846,48.84877235286682,49.56095576561374,45.7329830787073,46.34301302971388,39.640159040031634,39.00591387325137
36.10279103607126,33.65690447524714,33.7235074211908,31.664636013559697,29.769564917585395,31.18690743664008,32.82418003071174,32.321516832529,29.43870014023071,28.950602476352664,31.212045264897707,33.96920079259208,31.218596507783055,37.802771849669526,38.42854086761135,42.136374326845896,44.82104943111739,46.86088297249235,48.85559390717676,49.56938447507037,45.762055538157654,46.34954318848665,39.65505700572741,39.02326167346654
36.104426088235,33.66296562572141,33.72493626452484,31.66951458687794,29.780184176995007,31.198231679243186,32.82766414606234,32.32518245530515,29.45041559257126,28.96108427285564,31.216889425372475,33.96787443833138,31.223962435225037,37.802638628253725,38.42914179394261,42.13933081138556,44.82632190177075,46.87093310862657,48.8622291831947,49.57751640371409,45.789848974411285,46.35585020355771,39.66938132612549,39.03992184763798
36.106006269597934,33.66880866882193,33.72631732046758,31.67422072845193,29.790396226308918,31.209117746820613,32.83102777733154,32.32872372982735,29.461672434929266,28.9711602648082,31.22155932950588,33.96659434058394,31.229128703576425,37.80252384833536,38.42971240652249,42.14218085263812,44.831416797497155,46.880729093627714,48.868485993667186,49.585346794528775,45.81637896269146,46.361929432173135,39.68313110731986,39.055896601914235
36.10628548606527,33.669837079753975,33.726561394192466,31.675049901957244,29.79218675181014,31.211025386601758,32.831621153354654,32.32934795499696,29.463645151083842,28.972928029998,31.22238132478755,33.966365770174065,31.230040131403953,37.80250188041839,38.42981493548352,42.142683179895336,44.83231385976068,46.88247048473332,48.86959558700409,49.586722539897785,45.82098119099578,46.362999183572285,39.68553512594494,39.05868506118164
36.10679059882094,33.671697062197794,33.72700294095324,31.676549632108422,29.79542439958992,31.214474694184986,32.832694471913165,32.33047784308664,29.467211758483835,28.976126613578465,31.22386839298369,33.9659541413942,31.231685390407797,37.80246177062068,38.4300030849755,42.14359309929861,44.83393612909071,46.8855283258705,48.871619608590194,49.589210462179665,45.82929628565805,46.36493391097055,39.6898814140267,39.06372592910517
36.10679659610079,33.67171913681582,33.72700818291798,31.676567437166163,29.795462772894602,31.214515568049926,32.83270721914838,32.330491270964224,29.467254026562347,28.976164498183287,31.223886061833543,33.9659492952418,31.231704891694992,37.802461235930075,38.43000533949991,42.14360391203684,44.833955364788444,46.88556341879177,48.87164383148651,49.58923997092347,45.829394435790554,46.364956871006285,39.68993287551687,39.06378557982159
36.10719187697404,33.67317310282393,33.727353737060476,31.67774012627637,29.79799103355752,31.217208704696723,32.83354677093152,32.33137468588822,29.470038925168456,28.97865932163294,31.225051291205702,33.96562785844303,31.232987587084285,37.80242975148924,38.43014950257171,42.14431658280613,44.83522446022579,46.887908513930604,48.873255039443634,49.59118385639564,45.83586919165028,46.36646917686261,39.69332427459028,39.06771722192895
36.10743095375947,33.67405177069747,33.727562744615305,31.67844896987535,29.7995176812559,31.218834718034586,32.83405438193566,32.33190894882893,29.471721234710518,28.980166722009532,31.225754721365725,33.965433035895636,31.23376070868162,37.80240835433181,38.43023559593932,42.14474867210946,44.835990187236895,46.889347541146854,48.87420318991952,49.5923581483278,45.83976901926985,46.3673830589878,39.69537089538436,39.07008905044868
36.107794477001505,33.67538740494027,33.72788055385344,31.67952653883559,29.801837671642772,31.22130561560732,32.83482611019096,32.332722063225745,29.474278014818687,28.9824572282455,31.22682618013121,33.96513599964349,31.234933019145263,37.802376528652665,38.43036607770431,42.14540267829552,44.837153484520904,46.891572076586364,48.87559888275523,49.594142929272685,45.84568943360985,46.36877220038137,39.69848046646054,39.07369232873756
36.10780836637212,33.675438419822996,33.72789269388235,31.67956770776718,29.801926197778503,31.221399886597556,32.8348556019415,32.33275316739626,29.47437548720329,28.98254468144624,31.226867113001067,33.965124493476736,31.234977751699226,37.802375420567806,38.430371059359544,42.14542777618766,44.83719798498156,46.89165869887,48.87565275190264,49.59421106794135,45.84591480503586,46.36882525595276,39.698599035696105,39.07382966617719
36.10795503402158,33.6759767850663,33.72802092173652,31.680002167089633,29.802860435860108,31.2223947548486,32.83516684831282,32.333081293954024,29.475403567156615,28.983467826237703,31.22729991619358,33.96500286765823,31.235449642180647,37.80236167799801,38.43042383518115,42.14569212856954,44.837667931700636,46.8925366486741,48.87622807003329,49.59493015105716,45.8482926414103,46.3693851583606,39.69985035148347,39.075279067529074
36.10824972122235,33.677058263105,33.7282785658133,31.680874948281332,29.804736912834468,31.22439297496874,32.83579213748234,32.33374046951365,29.477469384469448,28.98532227512429,31.228171847991327,33.964762620954744,31.23640187931687,37.802335180307324,38.43053397907614,42.146220103470064,44.83861004815598,46.8942158898755,48.87739803335136,49.59637457257999,45.85306529755877,46.370509892507336,39.70236346862561,39.078189861993664
